date,open,high,low,close,volume,vwap,transactions,value,cumulative return,volatility,sharpe,10 day avg,100 day avg,beta
2023-01-03,14.85,15.0,14.1,14.32,401276580,14.37,424974,9999.9393,0.0,0.0,0.0,14.37,14.37,0.0
2023-01-04,14.57,14.85,14.24,14.75,431323600,14.62,367769,10173.9118,0.01739735560194849,0.1767766952966369,-3.0241655954871294,14.495,14.495,-0.5782675116214436
2023-01-05,14.49,14.56,14.15,14.26,389168110,14.31,365497,9958.1859,-0.0041753653444676015,0.16441816606851334,-5.136914126922279,14.433333333333332,14.433333333333332,-0.5425342196002908
2023-01-06,14.47,15.01,14.03,14.86,405043620,14.6,357261,10159.993999999999,0.0160055671537925,0.15800843859321745,-3.509951778131233,14.475,14.475,-0.3162357675730286
2023-01-09,15.28,16.06,15.14,15.63,504180560,15.79,518396,10988.103099999998,0.09881697981906734,0.6037963232746616,1.0523383059935618,14.738,14.738,-0.08051644381525949
2023-01-10,15.51,15.96,15.47,15.91,384101260,15.75,360974,10960.2675,0.09603340292275574,0.6799607831828735,0.875635793601158,14.906666666666666,14.906666666666666,-0.12508454172466912
2023-01-11,15.84,16.03,15.56,16.0,353194930,15.82,339154,11008.9798,0.10090466249130124,0.7102514645230539,0.9368484730219114,15.037142857142856,15.037142857142856,-0.0520520073641974
2023-01-12,16.1,16.64,15.49,16.51,551277060,16.2,531717,11273.418,0.127348643006263,0.7755136546647184,1.3480072126543812,15.1825,15.1825,0.06322670484894251
2023-01-13,16.28,16.92,16.16,16.9,447287060,16.68,426243,11607.4452,0.1607515657620042,0.8805743075465637,1.7322762961935934,15.348888888888887,15.348888888888887,0.08404257126054289
2023-01-17,16.9,17.73,16.9,17.7,511102160,17.51,499106,12185.0339,0.21851078636047325,1.0753113244286252,2.1904335483973054,15.565000000000001,15.565000000000001,0.06704128468313275
2023-01-18,17.67,17.87,17.28,17.38,439583300,17.52,407659,12191.9928,0.21920668058455114,1.1781858164915315,2.007661242302012,15.879999999999999,15.742727272727272,0.058483815710626406
