date,open,high,low,close,volume,vwap,transactions,value,cumulative return,volatility,sharpe,10 day avg,100 day avg,beta
2023-01-03,85.46,86.96,84.2,85.82,76706040,85.55,575321,9999.9395,0.0,0.0,0.0,85.55,85.55,0.0
2023-01-04,86.55,86.98,83.36,85.14,68885123,85.13,575729,9950.8457,-0.004909409701928752,0.2969848480983562,-17.142389696305294,85.34,85.34,2.049192498393392
2023-01-05,85.33,85.42,83.07,83.12,67930825,83.78,532666,9793.0442,-0.020689655172413807,0.9248243076390282,-6.964598515412352,84.82,84.82,-0.22485539986334466
2023-01-06,83.03,86.4,81.43,86.08,83303361,84.5,657438,9877.205,-0.01227352425482179,0.7718808198161208,-7.411804844901979,84.74,84.74,-0.2513064150814028
2023-01-09,87.46,89.48,87.08,87.36,65266056,88.4,590215,10333.076000000001,0.03331385154880192,1.768041289110636,-1.0299702904087786,85.47200000000001,85.47200000000001,-0.1601317507444426
2023-01-10,87.57,90.18,87.29,89.87,67685201,89.37,523587,10446.4593,0.04465225014611338,2.243474240250301,-0.3793357573408337,86.12166666666667,86.12166666666667,-0.23605781390540057
2023-01-11,90.93,95.26,90.93,95.09,103126183,93.72,741563,10954.9308,0.095499707773232,3.5273394803341236,0.9919572582984157,87.20714285714287,87.20714285714287,0.0077425186480782945
2023-01-12,96.93,97.19,93.5,95.27,85254781,95.22,630928,11130.2658,0.11303331385154868,4.323240971771063,1.156301495253481,88.20875,88.20875,0.13727834382382237
2023-01-13,94.18,98.37,94.12,98.12,85549432,97.0,619727,11338.33,0.1338398597311513,4.994141845980927,1.3573843533209662,89.18555555555555,89.18555555555555,0.13470711545920575
2023-01-17,98.68,98.89,95.73,96.05,72755001,96.77,600669,11311.4453,0.13115137346580935,5.284180163469069,1.2393540336256414,89.944,89.944,0.12161639740366224
2023-01-18,97.25,99.32,95.38,95.46,79532870,96.88,581769,11324.3032,0.13243717124488602,5.431737040093828,1.2259374765102715,91.077,90.57454545454544,0.11176072469559797
2023-01-19,94.74,95.44,92.86,93.68,68915663,93.9,502112,10975.971000000001,0.09760374050263013,5.2671776698779205,0.6984708378149842,91.95400000000001,90.85166666666667,0.09555880914273078
2023-01-20,93.86,97.35,93.2,97.25,67141539,95.82,467435,11200.3998,0.1200467562828754,5.227812701410182,1.0709966710340808,93.15799999999999,91.23384615384614,0.06843001446551882
