date,open,high,low,close,volume,vwap,transactions,value,cumulative return,volatility,sharpe,10 day avg,100 day avg,beta
2023-01-03,149.54,150.45,145.73,147.12,2762338,147.43,37709,10000.1769,0.0,0.0,0.0,147.43,147.43,0.0
2023-01-04,148.56,151.96,148.56,150.54,2620388,150.6,36930,10215.197999999999,0.021501729634402576,2.2415284963613566,-2.1769422106036975,149.015,149.015,-0.46788447737877353
2023-01-05,147.16,148.72,146.02,146.43,2505858,146.79,42670,9956.7657,-0.004341043206945715,2.0402042381421808,-4.2592196592596565,148.27333333333334,148.27333333333334,-0.44931932431813315
2023-01-06,147.74,150.43,145.48,150.17,3077593,149.36,42792,10131.088800000001,0.01309095842094563,1.7521891069934987,-3.492589912569707,148.54500000000002,148.54500000000002,-0.3651034122607708
2023-01-09,151.35,152.44,150.1,150.4,3219406,150.88,41307,10234.1904,0.02340093603744141,1.8420287728480265,-2.4970717438296623,149.012,149.012,-0.3735781412458563
2023-01-10,150.51,152.18,149.28,152.0,2198389,151.4,33828,10269.462,0.026928033643084767,1.9143876305492604,-2.131061617249128,149.41,149.41,-0.5036005651740417
2023-01-11,152.3,154.11,152.27,153.92,3113699,153.42,42161,10406.478599999999,0.04062945126500694,2.3132712356150122,-0.8903746211379504,149.98285714285717,149.98285714285717,-0.1027695098144005
2023-01-12,154.76,155.75,152.4,154.92,3322481,154.67,42270,10491.266099999999,0.049108051278572734,2.7079377366760617,-0.2990017048892296,150.56875,150.56875,0.27708639203757723
2023-01-13,153.24,156.25,152.3,155.76,2391262,155.1,38883,10520.432999999999,0.052024689683239374,2.9491811481230563,-0.1287401420701669,151.07222222222222,151.07222222222222,0.31824884216570226
2023-01-17,155.54,156.1,153.37,153.75,3073414,154.31,49499,10466.8473,0.046666214474665846,2.9630359805817754,-0.39475659683699044,151.39600000000002,151.39600000000002,0.3145506464767749
2023-01-18,154.49,154.76,150.32,150.42,2762417,151.3,46404,10262.679,0.026249745641999563,2.811131768199741,-1.4868310504977476,151.783,151.38727272727272,0.31378956415506576
2023-01-19,146.61,148.0,144.2,146.85,3852474,146.36,61894,9927.598800000002,-0.007257681611612172,3.04797945988466,-2.992040504218199,151.359,150.96833333333333,0.33982052765170173
2023-01-20,147.96,151.78,147.72,151.6,3954780,150.55,55793,10211.8065,0.021162585633860156,2.920523750007688,-1.6879431300591328,151.735,150.93615384615384,0.34881066555963275
2023-01-23,152.0,155.06,151.55,154.0,3608652,153.84,56906,10434.9672,0.04347826086956509,2.911297905489145,-0.563212028871546,152.183,151.14357142857145,0.33921193380154974
2023-01-24,154.0,156.67,152.66,155.33,2348501,155.42,37099,10542.138599999998,0.05419521128671214,3.0148699727153945,-0.019794551851362155,152.637,151.42866666666666,0.3199346803082014
2023-01-25,153.49,157.06,153.37,156.77,2916452,155.81,48105,10568.5923,0.05684053449094484,3.111789410184002,0.1061517848601668,153.078,151.7025,0.3870305774088936
2023-01-26,157.65,158.23,154.28,155.88,3640253,155.53,58486,10549.5999,0.054941328087906006,3.152741920558519,0.01596134452739077,153.28900000000002,151.92764705882354,0.4795230963022038
2023-01-27,166.8,175.54,165.5,172.31,13997338,171.8,171405,11653.194000000001,0.16529878586447813,5.594153723518233,2.9173889039530985,155.002,153.03166666666667,0.299643123660468
2023-01-30,174.79,177.86,172.51,172.66,10240662,175.31,139552,11891.2773,0.18910669470257063,7.461788820226742,2.6575828501398675,157.02300000000002,154.2042105263158,0.29331342706401303
2023-01-31,172.91,175.31,171.9,174.93,5170928,174.04,64863,11805.133199999998,0.1804924370887877,8.510040138442045,2.180991123197905,158.996,155.196,0.30989847429913997
2023-02-01,173.38,175.12,171.93,173.61,3725218,173.71,62226,11782.7493,0.17825408668520645,9.226160579982285,1.9759380775957613,161.23700000000002,156.07761904761907,0.31991209177354674
