date,open,high,low,close,volume,vwap,transactions,value,cumulative return,volatility,sharpe,10 day avg,100 day avg,beta
2023-01-03,35.17,35.5,32.38,33.49,3649497,33.52,22862,10000.0216,0.0,0.0,0.0,33.52,33.52,0.0
2023-01-04,34.45,34.46,32.74,33.64,2467935,33.6,18986,10023.887999999999,0.002386634844868633,0.056568542494922595,-30.939315789462537,33.56,33.56,-4.215276398214946
2023-01-05,33.32,34.52,33.0,33.74,1803939,33.8,15837,10083.553999999998,0.008353221957040396,0.1442220510185565,-10.748647582335007,33.64,33.64,0.4949952424176878
2023-01-06,33.77,34.63,32.25,32.42,3166173,32.72,22297,9761.3576,-0.023866348448687416,0.4748333040833022,-5.539190232407488,33.41,33.41,-0.07705399573004255
2023-01-09,33.0,34.08,32.53,32.56,1920198,33.19,15572,9901.572699999999,-0.009844868735083655,0.42282384038745896,-5.108964522957102,33.366,33.366,-0.02173242912293927
2023-01-10,32.35,33.9,32.0,33.75,2504997,33.3,18260,9934.389,-0.006563245823389103,0.3791437722025769,-5.407426286049038,33.355,33.355,0.014728710324008281
2023-01-11,34.09,36.27,33.75,35.52,3903408,35.3,23235,10531.048999999999,0.05310262529832926,0.8125415740279441,-0.061771608498985206,33.63285714285714,33.63285714285714,0.16771550369112817
2023-01-12,35.66,36.65,34.68,35.47,2404764,35.56,17566,10608.6148,0.060859188544152676,1.014958655034072,0.2067158095153684,33.87375,33.87375,0.3192924739066872
2023-01-13,35.04,36.84,34.86,36.73,2853090,36.19,19845,10796.562699999999,0.07965393794749388,1.2237181501927274,0.6862756753814029,34.13111111111111,34.13111111111111,0.2690364312826591
2023-01-17,37.12,38.67,36.46,37.56,3532491,37.63,23691,11226.1579,0.12261336515513127,1.5985371785201345,1.4261839077840905,34.481,34.481,0.1691012365568839
2023-01-18,37.84,38.16,33.86,33.94,4602834,35.3,28201,10531.048999999999,0.05310262529832926,1.5364788552815407,-0.03266689927262703,34.659000000000006,34.555454545454545,0.16945849296429738
2023-01-19,33.25,34.0,32.46,32.6,2939517,32.96,20570,9832.9568,-0.016706443914081156,1.53566760726402,-1.5564514017837623,34.595,34.4225,0.18183604763854389
2023-01-20,33.03,33.39,31.88,33.29,3269490,32.79,21034,9782.240699999998,-0.021778042959427365,1.5384266021674258,-1.6641625907879234,34.494,34.29692307692308,0.1965470341302943
2023-01-23,33.24,34.67,32.77,34.47,2066082,34.14,14963,10184.9862,0.01849642004773263,1.4786673536861301,-0.8184342455273304,34.636,34.285714285714285,0.1956654990635658
2023-01-24,34.29,36.01,34.04,34.67,2550468,34.99,19047,10438.5667,0.043854415274462946,1.4364363974118466,-0.25075387998312465,34.816,34.33266666666667,0.19685501442612394
2023-01-25,33.94,33.94,32.77,33.81,2108484,33.5,16249,9994.055,-0.0005966587112171582,1.4032555896913437,-1.3184996472431387,34.836,34.280625,0.16984308841502552
2023-01-26,34.29,34.66,33.43,34.05,1352115,33.9,10828,10113.386999999999,0.01133651551312637,1.3618288957047693,-1.064885614172187,34.696,34.25823529411765,0.15378822532253117
2023-01-27,33.92,33.96,32.66,33.01,2111514,33.15,15444,9889.6395,-0.011038186157517971,1.3467433486224554,-1.6337129136375652,34.455,34.196666666666665,0.11380881327914474
2023-01-30,32.7,33.5,32.34,32.58,1434303,32.89,11974,9812.073699999999,-0.01879474940334139,1.3426904125149808,-1.832285370528446,34.125,34.1278947368421,0.05284469832595861
2023-01-31,32.77,33.53,32.59,33.44,1447146,33.25,10149,9919.4725,-0.008054892601431999,1.321539771789352,-1.5892007526616934,33.687,34.083999999999996,0.011511385546168117
2023-02-01,33.39,33.94,32.03,33.48,2210328,33.07,17148,9865.7731,-0.013424821002386605,1.3069451841166537,-1.7446730189691535,33.464,34.035714285714285,-0.031908447561539655
2023-02-02,33.96,34.58,31.12,31.38,4973181,32.2,31005,9606.226,-0.03937947494033407,1.3341447476912716,-2.3612070620158594,33.388,33.95227272727273,-0.08854689173282085
2023-02-03,30.83,31.96,30.28,30.71,4192554,31.12,25395,9284.0296,-0.07159904534606207,1.431016526946931,-2.95607487428891,33.221,33.82913043478261,-0.1552651110715031
2023-02-06,31.86,33.99,31.53,33.15,6154044,33.1,34461,9874.723,-0.012529832935560868,1.407453180934179,-1.598768634354476,33.117000000000004,33.79875,-0.16679082693764513
2023-02-07,33.06,33.37,31.77,32.71,3224394,32.66,19457,9743.457799999998,-0.025656324582339074,1.3965156640725518,-1.9263600611215532,32.884,33.7532,-0.19561713879006765
2023-02-08,32.76,33.29,32.3,32.47,1351224,32.62,12188,9731.524599999999,-0.02684964200477339,1.386230805513226,-1.969507522947597,32.796,33.70961538461539,-0.2304125125583647
2023-02-09,32.97,33.53,31.89,32.14,2392014,32.35,19744,9650.9755,-0.034904534606205205,1.3842657757424113,-2.16735257966696,32.641000000000005,33.65925925925926,-0.2765617147296895
2023-02-10,31.83,32.74,31.17,32.38,1616541,32.2,14183,9606.226,-0.03937947494033407,1.3860999299736718,-2.272701940082947,32.546,33.607142857142854,-0.32106836917177267
2023-02-13,32.62,33.1,31.72,32.62,2672352,32.58,17922,9719.5914,-0.028042959427207706,1.3744221356252067,-2.015532148527192,32.515,33.571724137931035,-0.35340796735886465
2023-02-14,32.18,33.03,31.87,32.06,1552857,32.28,12661,9630.0924,-0.03699284009546544,1.3709541940921486,-2.239456294915162,32.418,33.528666666666666,-0.37904082268658873
2023-02-15,32.21,32.5,31.57,32.22,1466511,32.14,11689,9588.3262,-0.04116945107398573,1.370792173451432,-2.341851713317901,32.325,33.483870967741936,-0.40162021621367633
2023-02-16,31.99,32.96,31.24,31.27,2157984,31.88,14490,9510.7604,-0.048926014319809155,1.3779853222683827,-2.5183083911862854,32.293,33.43375,-0.4218638172961318
2023-02-17,31.27,31.82,30.84,31.61,2043678,31.47,14029,9388.445099999999,-0.06115751789976144,1.3987003572581018,-2.7741409944345903,32.328,33.374242424242425,-0.4417829649972983
2023-02-21,31.16,31.37,28.78,28.97,4059957,29.43,27729,8779.8519,-0.12201670644391412,1.5344833709383354,-3.858101112154649,31.960999999999995,33.25823529411765,-0.4205141679128155
2023-02-22,29.33,29.8,28.43,29.68,3571365,29.24,23389,8723.169199999998,-0.12768496420047748,1.6573187823163322,-3.6867934311709005,31.619,33.14342857142857,-0.41113369383952897
2023-02-23,30.11,30.79,28.99,30.59,3217584,30.01,23702,8952.8833,-0.1047136038186158,1.7149229933194887,-3.1139543995869277,31.357999999999997,33.05638888888889,-0.41802316599618666
2023-02-24,29.97,31.06,29.77,30.69,2653092,30.56,20937,9116.9648,-0.08830548926014323,1.740028390227815,-2.7529389904798296,31.178999999999995,32.98891891891892,-0.4268609875682249
2023-02-27,30.93,30.93,29.77,30.01,3672960,30.16,25207,8997.6328,-0.10023866348448694,1.776645331635974,-2.9213438988527676,30.975,32.91447368421053,-0.43644966934153445
2023-02-28,31.19,31.67,29.85,30.27,5756280,30.4,33168,9069.232,-0.09307875894988067,1.7987554176795637,-2.7520095013172305,30.756999999999998,32.85,-0.44247211277663623
2023-03-01,29.87,30.25,28.88,29.59,6142371,29.36,42406,8758.968799999999,-0.12410501193317436,1.859317475408376,-3.221715537678328,30.464999999999996,32.76275,-0.435301795106101
2023-03-02,28.28,32.3,28.01,31.47,7051629,30.97,43883,9239.2801,-0.07607398568019094,1.8571548197148906,-2.3585497307502066,30.348000000000003,32.7190243902439,-0.43902788550632205
2023-03-03,31.29,31.67,29.99,31.59,4860582,30.89,33945,9215.4137,-0.07846062052505975,1.855950486068084,-2.4031848012546537,30.249000000000002,32.67547619047619,-0.4420831201794717
2023-03-06,30.67,30.83,29.21,29.46,7500528,29.89,44473,8917.0837,-0.10829355608591894,1.8822800198402219,-2.900839376950671,30.090999999999998,32.6106976744186,-0.4313531039601639
