date,open,high,low,close,volume,vwap,transactions,value,cumulative return,percent change
2023-01-03,130.79,131.44,129.5,131.29,276808,130.47,276808,10000.0,0.0,0.0
2023-01-04,131.29,132.72,129.92,132.25,272444,131.18,272444,10054.42,0.005442000000000008,0.005441999999999947
2023-01-05,132.24,134.05,131.68,133.32,272141,132.88,272141,10184.72,0.018471999999999933,0.012959474539555593
2023-01-06,133.32,134.77,131.99,132.08,260547,133.56,260547,10236.84,0.023684000000000014,0.005117470092452336
2023-01-09,131.81,132.66,131.3,131.73,258141,131.93,258141,10111.9,0.011189999999999964,-0.01220493824266089
2023-01-10,131.73,132.48,131.38,132.1,267656,132.01,267656,10118.03,0.011803000000000065,0.0006062164380582491
2023-01-11,132.1,132.87,131.77,131.9,245193,132.44,245193,10150.99,0.015098999999999979,0.003257551124082436
2023-01-12,131.9,132.04,128.86,129.17,306199,130.62,306199,10011.5,0.00115,-0.013741516837273982
2023-01-13,129.17,129.35,127.46,127.89,271885,128.47,271885,9846.71,-0.015329000000000087,-0.016460070918443925
2023-01-17,128.61,128.79,127.99,128.28,110708,128.36,110708,9838.28,-0.016171999999999933,-0.0008561235173980553
2023-01-18,129.18,129.26,127.56,128.55,143678,128.55,143678,9852.84,-0.014715999999999986,0.0014799334843080825
2023-01-19,128.49,128.81,128.23,128.37,128001,128.48,128001,9847.47,-0.015253000000000065,-0.0005450205220018933
2023-01-20,128.51,130.61,128.5,129.55,234983,129.46,234983,9922.59,-0.007740999999999986,0.007628355303443524
2023-01-23,129.31,130.89,129.04,130.59,228333,130.11,228333,9972.41,-0.0027590000000000145,0.005020866527791545
2023-01-24,130.16,131.12,129.72,130.21,197904,130.21,197904,9980.07,-0.001993000000000029,0.0007681192409858539
2023-01-25,130.52,130.58,129.21,129.26,188638,129.85,188638,9952.48,-0.0047520000000000435,-0.002764509667767867
2023-01-26,129.35,130.62,129.2,129.8,196921,129.96,196921,9960.91,-0.003909000000000015,0.0008470250630998599
2023-01-27,129.76,130.07,129.55,129.88,128171,129.86,128171,9953.25,-0.004675,-0.0007690060446284841
2023-01-30,129.83,130.61,129.2,130.48,230176,130.03,230176,9966.28,-0.0033719999999999345,0.0013091201366388638
2023-01-31,130.16,130.49,129.74,130.11,197781,130.19,197781,9978.54,-0.0021459999999999127,0.001230148059255809
2023-02-01,130.11,130.42,128.42,128.6,240047,129.58,240047,9931.79,-0.006820999999999913,-0.00468505412615472
2023-02-02,128.49,129.13,128.07,128.76,200641,128.58,200641,9855.14,-0.014486000000000058,-0.007717642036329964
2023-02-03,128.77,131.21,128.32,131.19,229024,129.56,229024,9930.25,-0.006975,0.007621403653321979
2023-02-06,132.06,132.9,131.58,132.63,240859,132.24,240859,10135.66,0.013565999999999986,0.020685279826791803
2023-02-07,132.62,132.62,130.47,131.06,276411,131.76,276411,10098.87,0.00988700000000008,-0.003629758693563079
2023-02-08,131.06,131.53,130.59,131.39,243741,131.13,243741,10050.59,0.005059000000000015,-0.004780732893878259
2023-02-09,131.39,131.82,130.33,131.51,250073,131.13,250073,10050.59,0.005059000000000015,0.0
2023-02-10,131.52,131.88,129.8,131.42,256830,131.2,256830,10055.95,0.005595000000000073,0.0005333020250553044
2023-02-13,132.18,132.91,132.01,132.33,175370,132.49,175370,10154.82,0.015481999999999971,0.009831990015861214
2023-02-14,132.33,133.31,131.5,132.99,275470,132.42,275470,10149.46,0.014945999999999912,-0.0005278281643594784
2023-02-15,132.99,134.36,132.54,133.91,240830,133.6,240830,10239.9,0.023989999999999963,0.008910818900710105
2023-02-16,133.9,134.49,133.6,134.07,247790,133.94,247790,10265.96,0.02659599999999991,0.002544946727995434
2023-02-17,134.07,135.12,134.05,134.1,211291,134.58,211291,10315.01,0.03150100000000002,0.004777926272847566
2023-02-21,134.34,135.23,134.14,134.99,213109,134.7,213109,10324.21,0.032420999999999915,0.0008919041280617268
